Statistic,Sharing assumption,Unit,Group or category,Sample base,Population base,Population base sampling error,Estimate,Sampling error,Note
Average Direct taxes,Family,Dollars (tax year 2018/19),Principal Age 15-19,243,134000,14000,2250,330,
Average Direct taxes,Family,Dollars (tax year 2018/19),Principal Age 20-24,537,344000,13000,5250,730,
Average Direct taxes,Family,Dollars (tax year 2018/19),Principal Age 25-29,804,452000,23000,11020,2470,
Average Direct taxes,Family,Dollars (tax year 2018/19),Principal Age 30-34,1155,538000,25000,16970,1530,
Average Direct taxes,Family,Dollars (tax year 2018/19),Principal Age 35-39,1191,531000,34000,19470,2520,
Average Direct taxes,Family,Dollars (tax year 2018/19),Principal Age 40-44,1218,563000,33000,24070,3080,
Average Direct taxes,Family,Dollars (tax year 2018/19),Principal Age 45-49,1035,482000,32000,25490,3930,
Average Direct taxes,Family,Dollars (tax year 2018/19),Principal Age 50-54,840,418000,25000,25680,5320,
Average Direct taxes,Family,Dollars (tax year 2018/19),Principal Age 55-59,738,359000,21000,21550,2400,
Average Direct taxes,Family,Dollars (tax year 2018/19),Principal Age 60-64,630,309000,19000,18340,3030,
Average Direct taxes,Family,Dollars (tax year 2018/19),Principal Age 65-69,522,237000,14000,15860,2490,
Average Direct taxes,Family,Dollars (tax year 2018/19),Principal Age 70-74,411,185000,12000,12180,3080,
Average Direct taxes,Family,Dollars (tax year 2018/19),Principal Age 75-79,342,124000,10000,8310,1600,
Average Direct taxes,Family,Dollars (tax year 2018/19),Principal Age 80+,318,159000,8000,6130,1390,
Average Direct taxes,Intra-family mOECD,Dollars (tax year 2018/19),Age 0-4,663,305000,0,3100,310,
Average Direct taxes,Intra-family mOECD,Dollars (tax year 2018/19),Age 5-9,759,327000,0,3360,390,
Average Direct taxes,Intra-family mOECD,Dollars (tax year 2018/19),Age 10-14,723,314000,0,3550,450,
Average Direct taxes,Intra-family mOECD,Dollars (tax year 2018/19),Age 15-19,561,305000,0,3350,510,
Average Direct taxes,Intra-family mOECD,Dollars (tax year 2018/19),Age 20-24,519,332000,0,5020,850,
Average Direct taxes,Intra-family mOECD,Dollars (tax year 2018/19),Age 25-29,642,367000,0,7600,1190,
Average Direct taxes,Intra-family mOECD,Dollars (tax year 2018/19),Age 30-34,708,338000,0,9590,720,
Average Direct taxes,Intra-family mOECD,Dollars (tax year 2018/19),Age 35-39,681,310000,0,9760,960,
Average Direct taxes,Intra-family mOECD,Dollars (tax year 2018/19),Age 40-44,630,299000,0,12180,1510,
Average Direct taxes,Intra-family mOECD,Dollars (tax year 2018/19),Age 45-49,693,330000,0,12890,1380,
Average Direct taxes,Intra-family mOECD,Dollars (tax year 2018/19),Age 50-54,627,317000,0,15020,3090,
Average Direct taxes,Intra-family mOECD,Dollars (tax year 2018/19),Age 55-59,633,314000,0,13180,1350,
Average Direct taxes,Intra-family mOECD,Dollars (tax year 2018/19),Age 60-64,558,270000,0,11760,1710,
Average Direct taxes,Intra-family mOECD,Dollars (tax year 2018/19),Age 65-69,513,233000,0,10180,1470,
Average Direct taxes,Intra-family mOECD,Dollars (tax year 2018/19),Age 70-74,426,190000,0,7580,1770,
Average Direct taxes,Intra-family mOECD,Dollars (tax year 2018/19),Age 75-79,339,125000,0,5380,930,
Average Direct taxes,Intra-family mOECD,Dollars (tax year 2018/19),Age 80+,312,157000,0,4490,980,
Average Direct taxes,No sharing,Dollars (tax year 2018/19),Age 0-4,663,305000,0,0,0,
Average Direct taxes,No sharing,Dollars (tax year 2018/19),Age 5-9,759,327000,0,0,0,
Average Direct taxes,No sharing,Dollars (tax year 2018/19),Age 10-14,723,314000,0,0,0,
Average Direct taxes,No sharing,Dollars (tax year 2018/19),Age 15-19,561,305000,0,1030,160,
Average Direct taxes,No sharing,Dollars (tax year 2018/19),Age 20-24,519,332000,0,4720,630,
Average Direct taxes,No sharing,Dollars (tax year 2018/19),Age 25-29,642,367000,0,8130,1710,
Average Direct taxes,No sharing,Dollars (tax year 2018/19),Age 30-34,708,338000,0,11360,930,
Average Direct taxes,No sharing,Dollars (tax year 2018/19),Age 35-39,681,310000,0,12230,1360,
Average Direct taxes,No sharing,Dollars (tax year 2018/19),Age 40-44,630,299000,0,15460,1940,
Average Direct taxes,No sharing,Dollars (tax year 2018/19),Age 45-49,693,330000,0,15160,2260,
Average Direct taxes,No sharing,Dollars (tax year 2018/19),Age 50-54,627,317000,0,16260,3270,
Average Direct taxes,No sharing,Dollars (tax year 2018/19),Age 55-59,633,314000,0,13110,1430,
Average Direct taxes,No sharing,Dollars (tax year 2018/19),Age 60-64,558,270000,0,12660,1940,
Average Direct taxes,No sharing,Dollars (tax year 2018/19),Age 65-69,513,233000,0,10310,1480,
Average Direct taxes,No sharing,Dollars (tax year 2018/19),Age 70-74,426,190000,0,7770,1830,
Average Direct taxes,No sharing,Dollars (tax year 2018/19),Age 75-79,339,125000,0,5310,960,
Average Direct taxes,No sharing,Dollars (tax year 2018/19),Age 80+,312,157000,0,4550,1010,
Average Disposable income,Family,Dollars (tax year 2018/19),Principal Age 15-19,243,134000,14000,15930,1860,
Average Disposable income,Family,Dollars (tax year 2018/19),Principal Age 20-24,537,344000,13000,28630,2030,
Average Disposable income,Family,Dollars (tax year 2018/19),Principal Age 25-29,804,452000,23000,42090,4690,
Average Disposable income,Family,Dollars (tax year 2018/19),Principal Age 30-34,1155,538000,25000,47070,2700,
Average Disposable income,Family,Dollars (tax year 2018/19),Principal Age 35-39,1191,531000,34000,48830,3810,
Average Disposable income,Family,Dollars (tax year 2018/19),Principal Age 40-44,1218,563000,33000,55070,4950,
Average Disposable income,Family,Dollars (tax year 2018/19),Principal Age 45-49,1035,482000,32000,60920,6680,
Average Disposable income,Family,Dollars (tax year 2018/19),Principal Age 50-54,840,418000,25000,65740,8580,
Average Disposable income,Family,Dollars (tax year 2018/19),Principal Age 55-59,738,359000,21000,63540,4950,
Average Disposable income,Family,Dollars (tax year 2018/19),Principal Age 60-64,630,309000,19000,67220,8910,
Average Disposable income,Family,Dollars (tax year 2018/19),Principal Age 65-69,522,237000,14000,60740,6020,
Average Disposable income,Family,Dollars (tax year 2018/19),Principal Age 70-74,411,185000,12000,49920,7120,
Average Disposable income,Family,Dollars (tax year 2018/19),Principal Age 75-79,342,124000,10000,40820,4310,
Average Disposable income,Family,Dollars (tax year 2018/19),Principal Age 80+,318,159000,8000,36080,3970,
Average Disposable income,Intra-family equal,Dollars (tax year 2018/19),Age 0-4,663,305000,0,24030,1370,
Average Disposable income,Intra-family equal,Dollars (tax year 2018/19),Age 5-9,759,327000,0,24000,1680,
Average Disposable income,Intra-family equal,Dollars (tax year 2018/19),Age 10-14,723,314000,0,25110,1920,
Average Disposable income,Intra-family equal,Dollars (tax year 2018/19),Age 15-19,561,305000,0,23880,2260,
Average Disposable income,Intra-family equal,Dollars (tax year 2018/19),Age 20-24,519,332000,0,27880,2770,
Average Disposable income,Intra-family equal,Dollars (tax year 2018/19),Age 25-29,642,367000,0,35060,2530,
Average Disposable income,Intra-family equal,Dollars (tax year 2018/19),Age 30-34,708,338000,0,34690,1800,
Average Disposable income,Intra-family equal,Dollars (tax year 2018/19),Age 35-39,681,310000,0,32320,2130,
Average Disposable income,Intra-family equal,Dollars (tax year 2018/19),Age 40-44,630,299000,0,37620,2870,
Average Disposable income,Intra-family equal,Dollars (tax year 2018/19),Age 45-49,693,330000,0,43230,3470,
Average Disposable income,Intra-family equal,Dollars (tax year 2018/19),Age 50-54,627,317000,0,51680,7160,
